Week,Timestep,U1,U2,U3,U4,MU,RBM,RSDU,Total extended time,Rescheduling
2,41,0.8125,0.8125,0.8541666666666666,0.6458333333333334,0.78125,1.0933333333333333,0.11825897507244504,8,True
3,6,0.6491228070175439,0.9649122807017544,0.8771929824561403,0.6666666666666666,0.7894736842105263,1.222222222222222,0.19793169208722053,12,True
4,8,0.6379310344827587,0.8103448275862069,0.8620689655172413,0.6896551724137931,0.75,1.1494252873563218,0.13856813272049898,0,False
6,41,0.78,0.62,0.8,0.68,0.7200000000000001,1.111111111111111,0.11785113019775793,0,False
7,7,0.8636363636363636,0.6515151515151515,0.8939393939393939,0.7575757575757576,0.7916666666666667,1.1291866028708133,0.1392226656637652,7,False
10,10,0.5740740740740741,0.8703703703703703,0.8703703703703703,0.8333333333333334,0.7870370370370371,1.1058823529411763,0.18175106237265046,6,True
14,50,0.8867924528301887,0.6226415094339622,0.8490566037735849,0.6792452830188679,0.7594339622641509,1.1677018633540373,0.1689623665681422,4,True
18,64,0.7313432835820896,0.8507462686567164,0.8805970149253731,0.7313432835820896,0.7985074626865672,1.102803738317757,0.09831609867949842,0,False
19,16,0.6,0.8545454545454545,0.8545454545454545,0.7090909090909091,0.7545454545454545,1.1325301204819276,0.16402070567600108,0,False
22,48,0.9491525423728814,0.6610169491525424,0.8135593220338984,0.7457627118644068,0.7923728813559323,1.1978609625668448,0.15362895847711402,10,True
23,13,0.6063829787234043,0.9787234042553191,0.9042553191489362,0.6595744680851063,0.7872340425531915,1.2432432432432432,0.23118247604245656,6,True
24,31,0.5833333333333334,0.9642857142857143,0.9047619047619048,0.6666666666666666,0.7797619047619048,1.2366412213740459,0.23536551816482804,1,False
25,46,0.660377358490566,0.8113207547169812,0.8490566037735849,0.6981132075471698,0.7547169811320755,1.125,0.1190238071423809,1,False
26,65,0.9642857142857143,0.5595238095238095,0.8928571428571429,0.6071428571428571,0.7559523809523809,1.2755905511811023,0.2677165354330709,5,True
29,45,0.7454545454545455,0.7090909090909091,0.8545454545454545,0.6545454545454545,0.740909090909091,1.1533742331288341,0.11400703365862044,0,False
31,26,0.9473684210526315,0.6140350877192983,0.8771929824561403,0.7017543859649122,0.7850877192982456,1.206703910614525,0.19598245239363674,5,True
35,39,0.9365079365079365,0.5873015873015873,0.7777777777777778,0.746031746031746,0.7619047619047619,1.2291666666666667,0.18788540636762058,1,False
37,6,0.5869565217391305,0.8478260869565217,0.8913043478260869,0.6521739130434783,0.7445652173913044,1.1970802919708028,0.1985616132662108,2,True
39,20,0.7049180327868853,0.8688524590163934,0.8688524590163934,0.7377049180327869,0.7950819672131147,1.092783505154639,0.10845177895573535,0,False
40,49,0.890625,0.640625,0.875,0.71875,0.78125,1.14,0.1557776192739723,1,False
41,9,0.578125,0.96875,0.765625,0.765625,0.76953125,1.2588832487309645,0.2073155112351486,7,True
47,0,1.0128205128205128,0.6025641025641025,0.8974358974358975,0.7051282051282052,0.8044871794871795,1.2589641434262948,0.22997401895875397,6,True
48,42,0.5774647887323944,0.9436619718309859,0.7887323943661971,0.7746478873239436,0.7711267605633803,1.2237442922374429,0.1946584143530979,0,False
49,60,0.9193548387096774,0.532258064516129,0.7419354838709677,0.7419354838709677,0.7338709677419355,1.2527472527472527,0.2157132873895305,1,False
50,57,0.9078947368421053,0.5921052631578947,0.8947368421052632,0.7894736842105263,0.7960526315789473,1.1404958677685952,0.1833146529985028,7,False
53,28,0.6712328767123288,0.9726027397260274,0.8493150684931506,0.7123287671232876,0.8013698630136985,1.2136752136752138,0.17122483420303955,3,True
55,26,0.7413793103448276,0.7413793103448276,0.8620689655172413,0.6896551724137931,0.7586206896551725,1.1363636363636362,0.09642365197998368,0,False
64,27,0.9433962264150944,0.8490566037735849,0.8679245283018868,0.7169811320754716,0.8443396226415094,1.1173184357541899,0.11154546839383198,15,True
65,18,0.8970588235294118,0.9705882352941176,0.8970588235294118,0.7205882352941176,0.8713235294117647,1.1139240506329113,0.12199858476625285,27,True
69,21,0.855072463768116,0.7391304347826086,0.8840579710144928,0.7681159420289855,0.8115942028985507,1.0892857142857144,0.08501700510170065,0,False
70,22,0.9523809523809523,0.5873015873015873,0.8888888888888888,0.6349206349206349,0.7658730158730158,1.2435233160621761,0.23713745346231294,6,True
71,7,0.6029411764705882,0.9558823529411765,0.8970588235294118,0.7647058823529411,0.8051470588235294,1.187214611872146,0.19465841435309797,3,False
72,30,0.9384615384615385,0.6615384615384615,0.8615384615384616,0.7538461538461538,0.8038461538461539,1.1674641148325358,0.1510022376847799,2,False
75,20,0.6833333333333333,0.8833333333333333,0.8666666666666667,0.65,0.7708333333333334,1.1459459459459458,0.15728398445257796,1,False
77,21,0.8035714285714286,0.9642857142857143,0.8214285714285714,0.7321428571428571,0.8303571428571429,1.161290322580645,0.117133581637048,23,True
89,27,0.6904761904761905,0.6428571428571429,0.8095238095238095,0.6190476190476191,0.6904761904761906,1.1724137931034482,0.12272503737967021,0,False
90,0,0.725,0.525,1.025,0.625,0.725,1.4137931034482758,0.29796508958197054,9,True
91,16,0.8823529411764706,0.4411764705882353,0.7647058823529411,0.5294117647058824,0.6544117647058822,1.3483146067415732,0.31218975257190573,4,False
92,29,0.725,0.525,0.725,0.6,0.64375,1.1262135922330097,0.15330380947996128,0,False
96,13,0.8974358974358975,0.6923076923076923,0.7948717948717948,0.5897435897435898,0.7435897435897436,1.206896551724138,0.17806819982562835,8,False
98,38,0.725,0.625,0.8,0.6,0.6875000000000001,1.1636363636363636,0.13443074553223536,0,False
101,39,0.5,0.9347826086956522,0.8043478260869565,0.6521739130434783,0.7228260869565217,1.293233082706767,0.26031402852328395,0,False
104,26,0.9508196721311475,0.639344262295082,0.8524590163934426,0.7049180327868853,0.7868852459016393,1.2083333333333333,0.1792151097300547,5,True
105,63,0.7837837837837838,0.972972972972973,0.9054054054054054,0.6756756756756757,0.8344594594594594,1.1659919028340082,0.15777357890068003,12,True
107,23,0.9433962264150944,0.8490566037735849,0.7735849056603774,0.7169811320754716,0.8207547169811321,1.1494252873563218,0.11945177983233637,19,True
109,28,0.5849056603773585,0.8490566037735849,0.8490566037735849,0.6981132075471698,0.7452830188679246,1.1392405063291138,0.17232555153301385,1,False
112,51,0.9166666666666666,0.7833333333333333,0.8833333333333333,0.7333333333333333,0.8291666666666666,1.105527638190955,0.1029844298086392,8,True
114,34,0.5686274509803921,0.803921568627451,0.8431372549019608,0.6862745098039216,0.7254901960784315,1.162162162162162,0.17093392757666914,2,False
