Week,Timestep,U1,U2,U3,U4,MU,RBM,RSDU,Total extended time,Stage,Rescheduling
0,-1,0.8194444444444444,0.7361111111111112,0.875,0.6527777777777778,0.7708333333333333,1.1351351351351353,0.12612612612612611,0,0,False
0,20,0.8194444444444444,0.7916666666666666,0.875,0.6527777777777778,0.7847222222222222,1.1150442477876106,0.12047538558502734,4,1,False
0,10,0.8194444444444444,0.7916666666666666,0.875,0.6527777777777778,0.7847222222222222,1.1150442477876106,0.12047538558502734,4,1,False
0,17,0.8194444444444444,0.7916666666666666,0.875,0.6527777777777778,0.7847222222222222,1.1150442477876106,0.12047538558502734,4,1,False
0,41,0.7763157894736842,0.7763157894736842,0.9078947368421053,0.618421052631579,0.769736842105263,1.1794871794871797,0.15384615384615385,12,2,False
0,42,0.7763157894736842,0.7763157894736842,0.9078947368421053,0.618421052631579,0.769736842105263,1.1794871794871797,0.15384615384615385,12,2,False
0,68,0.7763157894736842,0.7631578947368421,0.9078947368421053,0.618421052631579,0.7664473684210527,1.184549356223176,0.15442693869543503,11,2,False
0,41,0.7662337662337663,0.7662337662337663,0.8181818181818182,0.7012987012987013,0.762987012987013,1.0723404255319149,0.06273289187942124,13,2,False
0,58,0.7763157894736842,0.7631578947368421,0.8289473684210527,0.6710526315789473,0.7598684210526315,1.090909090909091,0.08643566598483085,9,2,False
0,25,0.8194444444444444,0.7916666666666666,0.875,0.6527777777777778,0.7847222222222222,1.1150442477876106,0.12047538558502734,4,1,False
0,65,0.7763157894736842,0.7631578947368421,0.8289473684210527,0.6710526315789473,0.7598684210526315,1.090909090909091,0.08643566598483085,9,2,False
0,40,0.8194444444444444,0.7916666666666666,0.875,0.6527777777777778,0.7847222222222222,1.1150442477876106,0.12047538558502734,4,1,False
1,-1,0.8333333333333334,0.7424242424242424,0.8939393939393939,0.7424242424242424,0.803030303030303,1.1132075471698113,0.09243357519936521,0,0,False
1,15,0.8208955223880597,0.7910447761194029,0.8656716417910447,0.7761194029850746,0.8134328358208955,1.0642201834862384,0.048545895615864025,6,1,False
1,39,0.8333333333333334,0.7727272727272727,0.8939393939393939,0.7424242424242424,0.8106060606060606,1.1028037383177571,0.08289180495732132,2,1,False
1,17,0.7971014492753623,0.7971014492753623,0.855072463768116,0.782608695652174,0.8079710144927537,1.0582959641255605,0.03977319789432009,11,2,False
1,19,0.7971014492753623,0.7971014492753623,0.855072463768116,0.782608695652174,0.8079710144927537,1.0582959641255605,0.03977319789432009,11,2,False
1,39,0.7971014492753623,0.7971014492753623,0.855072463768116,0.782608695652174,0.8079710144927537,1.0582959641255605,0.03977319789432009,11,2,False
1,49,0.7971014492753623,0.7971014492753623,0.855072463768116,0.782608695652174,0.8079710144927537,1.0582959641255605,0.03977319789432009,11,2,False
1,27,0.7534246575342466,0.7534246575342466,0.8356164383561644,0.7945205479452054,0.7842465753424658,1.0655021834061136,0.05017085280819238,17,2,False
1,63,0.7857142857142857,0.7714285714285715,0.8428571428571429,0.7857142857142857,0.7964285714285714,1.0582959641255607,0.039773197894320086,11,2,False
1,47,0.7971014492753623,0.7681159420289855,0.8985507246376812,0.7246376811594203,0.7971014492753623,1.1272727272727272,0.092709445701687,8,1,False
1,3,0.8333333333333334,0.7727272727272727,0.8939393939393939,0.7424242424242424,0.8106060606060606,1.1028037383177571,0.08289180495732132,2,1,True
2,-1,0.5961538461538461,0.8269230769230769,0.8653846153846154,0.6730769230769231,0.7403846153846154,1.1688311688311688,0.17163833421297842,0,0,False
2,6,0.5740740740740741,0.8703703703703703,0.8333333333333334,0.7222222222222222,0.75,1.1604938271604939,0.17748031813043477,8,1,False
2,12,0.5961538461538461,0.8653846153846154,0.8653846153846154,0.6730769230769231,0.75,1.153846153846154,0.1825141581543814,2,1,True
2,19,0.5961538461538461,0.8653846153846154,0.8653846153846154,0.6730769230769231,0.75,1.153846153846154,0.1825141581543814,2,1,True
2,20,0.5961538461538461,0.8653846153846154,0.8653846153846154,0.6730769230769231,0.75,1.153846153846154,0.1825141581543814,2,1,True
2,23,0.5961538461538461,0.8653846153846154,0.8653846153846154,0.6730769230769231,0.75,1.153846153846154,0.1825141581543814,2,1,True
2,30,0.5961538461538461,0.9038461538461539,0.8653846153846154,0.6730769230769231,0.7596153846153846,1.189873417721519,0.1955549405275353,4,1,False
2,41,0.5961538461538461,0.8653846153846154,0.8653846153846154,0.6730769230769231,0.75,1.153846153846154,0.1825141581543814,2,1,False
2,9,0.5344827586206896,0.8448275862068966,0.8103448275862069,0.7413793103448276,0.7327586206896552,1.1529411764705881,0.18970018231290706,16,2,False
2,21,0.5344827586206896,0.8448275862068966,0.8103448275862069,0.7413793103448276,0.7327586206896552,1.1529411764705881,0.18970018231290706,16,2,False
2,32,0.62,0.94,0.8,0.7,0.7650000000000001,1.2287581699346402,0.18034163038409473,-1,1,False
2,22,0.5344827586206896,0.8448275862068966,0.8103448275862069,0.7413793103448276,0.7327586206896552,1.1529411764705881,0.18970018231290706,16,2,False
2,28,0.5344827586206896,0.8448275862068966,0.8103448275862069,0.7413793103448276,0.7327586206896552,1.1529411764705881,0.18970018231290706,16,2,False
2,30,0.6727272727272727,0.7818181818181819,0.8,0.7272727272727273,0.7454545454545456,1.073170731707317,0.07712872341874097,10,2,True
2,30,0.6491228070175439,0.7543859649122807,0.8245614035087719,0.7368421052631579,0.7412280701754386,1.1124260355029587,0.09734881798227273,15,2,True
3,-1,0.8392857142857143,0.6964285714285714,0.875,0.7142857142857143,0.78125,1.12,0.11409507909997668,0,0,False
3,31,0.8392857142857143,0.7678571428571429,0.875,0.7142857142857143,0.7991071428571429,1.094972067039106,0.09008109215976032,4,1,False
3,6,0.8392857142857143,0.7321428571428571,0.875,0.7142857142857143,0.7901785714285714,1.1073446327683616,0.10000691561093601,2,1,True
3,14,0.8392857142857143,0.7321428571428571,0.875,0.7142857142857143,0.7901785714285714,1.1073446327683616,0.10000691561093601,2,1,True
3,26,0.8392857142857143,0.7321428571428571,0.875,0.7142857142857143,0.7901785714285714,1.1073446327683616,0.10000691561093601,2,1,True
3,15,0.7704918032786885,0.7377049180327869,0.8852459016393442,0.7540983606557377,0.7868852459016393,1.125,0.08505172717997145,17,2,False
3,18,0.7704918032786885,0.7377049180327869,0.8852459016393442,0.7540983606557377,0.7868852459016393,1.125,0.08505172717997145,17,2,False
3,29,0.7704918032786885,0.7377049180327869,0.8360655737704918,0.7540983606557377,0.7745901639344263,1.0793650793650793,0.055660436818552046,14,2,False
3,43,0.7704918032786885,0.7213114754098361,0.819672131147541,0.7540983606557377,0.7663934426229508,1.0695187165775402,0.05347593582887701,12,2,False
3,34,0.8392857142857143,0.7678571428571429,0.875,0.7142857142857143,0.7991071428571429,1.094972067039106,0.09008109215976032,4,1,False
3,39,0.7704918032786885,0.7377049180327869,0.8032786885245902,0.7540983606557377,0.7663934426229507,1.0481283422459895,0.0365310187734745,12,2,False
3,54,0.7704918032786885,0.7213114754098361,0.8032786885245902,0.7540983606557377,0.7622950819672131,1.053763440860215,0.04476701074120715,11,2,False
3,45,0.8392857142857143,0.75,0.875,0.7142857142857143,0.7946428571428572,1.1011235955056178,0.0944533349282284,3,1,False
4,-1,0.8448275862068966,0.6724137931034483,0.8793103448275862,0.7241379310344828,0.7801724137931034,1.12707182320442,0.12550073692376296,0,0,False
