Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
0,-1.615009999,0.818181818,1.055555556,0.047814609,-1.293396577,FALSE,4,5
0,-1.582606694,0.818181818,1.055555556,0.047814609,-1.293396577,FALSE,4,6
0,-1.096557115,0.820422535,1.098712446,0.078514579,-0.748799717,FALSE,21,21
0,-1.031750505,0.827464789,1.089361702,0.076595745,-0.684729498,FALSE,23,23
0,-0.934540589,0.811643836,1.113924051,0.089705872,-0.62065928,FALSE,25,26
0,-0.902137283,0.811643836,1.113924051,0.089705872,-0.62065928,FALSE,25,27
0,-0.837330673,0.825657895,1.051792829,0.052653991,-0.172167748,FALSE,39,29
0,-0.740120757,0.825657895,1.051792829,0.052653991,-0.172167748,FALSE,39,32
0,-0.675314147,0.818181818,1.047619048,0.050194883,-0.140132638,FALSE,40,34
0,-0.610507536,0.829113924,1.099236641,0.068843508,0.180218456,FALSE,50,36
0,-0.578104231,0.829113924,1.099236641,0.068843508,0.180218456,FALSE,50,37
0,-0.545700925,0.833333333,1.066666667,0.046061131,0.436499331,FALSE,58,38
0,-1.485396778,0.818181818,1.055555556,0.047814609,-1.293396577,FALSE,4,9
0,-0.480894315,0.843373494,1.085714286,0.060609153,0.756850425,FALSE,68,40
0,-0.44849101,0.843373494,1.085714286,0.060609153,0.756850425,FALSE,68,41
0,-0.383684399,0.858823529,1.068493151,0.058118366,1.141271738,FALSE,80,43
0,-0.318877789,0.858823529,1.068493151,0.058118366,1.141271738,FALSE,80,45
0,-0.254071178,0.82967033,1.033112583,0.027571735,1.461622832,FALSE,90,47
0,-0.124457957,0.82967033,1.033112583,0.027571735,1.461622832,FALSE,90,51
0,0.069961875,0.839673913,1.035598706,0.026686768,1.685868598,FALSE,97,57
0,0.231978401,0.855263158,1.083076923,0.058918591,2.198430349,FALSE,113,62
0,0.264381706,0.855263158,1.083076923,0.058918591,2.198430349,FALSE,113,63
0,0.329188317,0.855263158,1.083076923,0.058918591,2.198430349,FALSE,113,65
0,-1.452993473,0.818181818,1.055555556,0.047814609,-1.293396577,FALSE,4,10
0,0.393994927,0.855263158,1.083076923,0.058918591,2.198430349,FALSE,113,67
0,0.847641201,0.852040816,1.053892216,0.037235046,2.486746334,FALSE,122,81
0,1.171674254,0.86,1.081395349,0.0615291,2.807097428,FALSE,132,91
0,1.33369078,0.86,1.081395349,0.0615291,2.807097428,FALSE,132,96
0,-1.420590168,0.818181818,1.055555556,0.047814609,-1.293396577,FALSE,4,11
0,-1.388186862,0.824626866,1.085972851,0.066706921,-1.13322103,FALSE,9,12
0,-1.355783557,0.824626866,1.085972851,0.066706921,-1.13322103,FALSE,9,13
0,-1.258573641,0.832089552,1.076233184,0.06771152,-1.069150811,FALSE,11,16
0,-1.193767031,0.815217391,1.102222222,0.081306209,-1.005080592,FALSE,13,18
0,-1.161363726,0.836956522,1.073593074,0.065366532,-0.812869936,FALSE,19,19
1,-1.452993473,0.773076923,1.174129353,0.206412708,-1.325431687,FALSE,3,10
1,-1.388186862,0.773076923,1.174129353,0.206412708,-1.325431687,FALSE,3,12
1,-0.51329762,0.78125,1.137777778,0.14323712,-0.556589061,FALSE,27,39
1,-0.383684399,0.78125,1.137777778,0.14323712,-0.556589061,FALSE,27,43
1,-0.318877789,0.78125,1.137777778,0.14323712,-0.556589061,FALSE,27,45
1,-0.286474483,0.777027027,1.165217391,0.143060437,-0.396413514,FALSE,32,46
1,-0.124457957,0.777027027,1.165217391,0.143060437,-0.396413514,FALSE,32,51
1,-0.092054652,0.777027027,1.165217391,0.143060437,-0.396413514,FALSE,32,52
1,0.069961875,0.777027027,1.165217391,0.143060437,-0.396413514,FALSE,32,57
1,0.10236518,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,58
1,0.458801538,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,69
1,0.71802798,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,77
1,-1.355783557,0.773076923,1.174129353,0.206412708,-1.325431687,FALSE,3,13
1,1.171674254,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,91
1,1.301287475,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,95
1,1.33369078,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,96
1,1.430900696,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,99
1,1.560513917,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,103
1,1.592917222,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,104
1,1.690127138,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,107
1,1.94935358,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,115
1,2.078966801,0.774647887,1.145454545,0.201919167,-0.716764608,TRUE,22,119
1,-1.226170336,0.8,1.134615385,0.160896159,-1.101185921,FALSE,10,17
1,-1.031750505,0.78358209,1.123809524,0.157455197,-1.037115702,FALSE,12,23
1,-0.999347199,0.787313433,1.118483412,0.161137441,-1.005080592,FALSE,13,24
1,-0.966943894,0.789855072,1.137614679,0.139336829,-0.780834827,FALSE,20,25
1,-0.707717452,0.792857143,1.135135135,0.139178741,-0.652694389,FALSE,24,33
1,-0.578104231,0.777777778,1.125,0.138320834,-0.58862417,FALSE,26,37
1,-0.545700925,0.777777778,1.125,0.138320834,-0.58862417,FALSE,26,38
2,-1.161363726,0.745283019,1.113924051,0.07871206,-0.908975264,FALSE,16,19
2,-1.06415381,0.745283019,1.113924051,0.07871206,-0.908975264,FALSE,16,22
2,-0.51329762,0.75,1.163636364,0.151232059,-0.684729498,TRUE,23,39
