Week,Timestep,U1,U2,U3,U4,MU,RBM,RSDU,Total extended time,Rescheduling
0,-1,0.8333333333333334,0.7424242424242424,0.8636363636363636,0.7727272727272727,0.803030303030303,1.0754716981132075,0.06889591918303978,0,False
0,0,0.8088235294117647,0.8088235294117647,0.8970588235294118,0.75,0.8161764705882353,1.0990990990990992,0.07429019145257049,10,False
0,0,0.8695652173913043,0.7101449275362319,0.8985507246376812,0.7391304347826086,0.8043478260869565,1.117117117117117,0.11630580619241492,10,False
0,5,0.7638888888888888,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7847222222222221,1.008849557522124,0.017699115044247798,14,False
0,2,0.7857142857142857,0.7571428571428571,0.9,0.7142857142857143,0.7892857142857143,1.1402714932126699,0.1006384755210394,9,False
1,-1,0.5967741935483871,0.9516129032258065,0.8870967741935484,0.7580645161290323,0.7983870967741935,1.191919191919192,0.1962128253782285,0,False
1,5,0.6428571428571429,0.8428571428571429,0.9,0.6857142857142857,0.7678571428571428,1.172093023255814,0.1603133761824566,17,False
1,0,0.6714285714285714,0.8428571428571429,0.8142857142857143,0.7857142857142857,0.7785714285714285,1.0825688073394497,0.0965121335661132,20,False
1,5,0.6285714285714286,0.8428571428571429,0.9,0.6857142857142857,0.7642857142857142,1.177570093457944,0.16753058766042062,16,False
1,5,0.6119402985074627,0.8805970149253731,0.8208955223880597,0.7761194029850746,0.7723880597014925,1.1400966183574879,0.14915988633699725,9,False
1,5,0.625,0.921875,0.890625,0.734375,0.79296875,1.1625615763546797,0.1750444396878349,5,False
2,-1,0.6458333333333334,0.8125,0.8541666666666666,0.6458333333333334,0.7395833333333334,1.1549295774647885,0.14816651491135677,0,False
2,4,0.66,0.78,0.86,0.62,0.73,1.178082191780822,0.15089234376126306,4,False
2,0,0.7358490566037735,0.7358490566037735,0.8679245283018868,0.6792452830188679,0.7547169811320754,1.1500000000000001,0.1060660171779822,18,False
2,0,0.7254901960784313,0.7647058823529411,0.8627450980392157,0.7058823529411765,0.7647058823529412,1.1282051282051282,0.0912570790771907,14,False
2,1,0.6862745098039216,0.7647058823529411,0.8235294117647058,0.7058823529411765,0.7450980392156863,1.1052631578947367,0.08321783316232573,10,False
3,-1,0.6851851851851852,0.8333333333333334,0.8703703703703703,0.7222222222222222,0.7777777777777778,1.119047619047619,0.11335600680226744,0,False
3,4,0.6949152542372882,0.7627118644067796,0.8813559322033898,0.6610169491525424,0.75,1.1751412429378532,0.12965660623772882,9,False
3,5,0.7413793103448276,0.7758620689655172,0.8103448275862069,0.7413793103448276,0.7672413793103448,1.056179775280899,0.04303043180927357,10,False
3,1,0.6779661016949152,0.7627118644067796,0.7966101694915254,0.7457627118644068,0.7457627118644068,1.0681818181818181,0.06690727929036248,8,False
3,0,0.7413793103448276,0.7758620689655172,0.8103448275862069,0.7413793103448276,0.7672413793103448,1.056179775280899,0.04303043180927357,10,False
3,5,0.7321428571428571,0.8035714285714286,0.8392857142857143,0.7321428571428571,0.7767857142857143,1.0804597701149425,0.06896551724137936,6,False
4,-1,0.6491228070175439,0.8245614035087719,0.8771929824561403,0.7017543859649122,0.7631578947368421,1.1494252873563218,0.13856813272049903,0,False
4,1,0.6825396825396826,0.746031746031746,0.8888888888888888,0.6825396825396826,0.75,1.1851851851851851,0.12974655490475848,15,False
4,4,0.6666666666666666,0.7833333333333333,0.8333333333333334,0.75,0.7583333333333333,1.098901098901099,0.09237743745727837,8,False
4,5,0.7377049180327869,0.7704918032786885,0.819672131147541,0.7540983606557377,0.7704918032786885,1.0638297872340425,0.04596269998870823,14,False
4,5,0.7192982456140351,0.8245614035087719,0.8771929824561403,0.7368421052631579,0.7894736842105263,1.111111111111111,0.09428090415820631,6,False
4,3,0.746031746031746,0.746031746031746,0.8888888888888888,0.7301587301587301,0.7777777777777778,1.1428571428571428,0.09572277060864137,22,False
4,4,0.6949152542372882,0.7966101694915254,0.847457627118644,0.7457627118644068,0.771186440677966,1.098901098901099,0.08512051310345968,8,False
5,-1,0.8596491228070176,0.6140350877192983,0.8771929824561403,0.6666666666666666,0.7543859649122807,1.1627906976744184,0.17711100246195133,0,False
5,3,0.7777777777777778,0.6825396825396826,0.8888888888888888,0.6984126984126984,0.7619047619047619,1.1666666666666667,0.12383718402865976,20,False
5,2,0.8032786885245902,0.639344262295082,0.8852459016393442,0.6229508196721312,0.7377049180327868,1.2000000000000002,0.173086243637747,8,False
5,0,0.7903225806451613,0.6129032258064516,0.8064516129032258,0.7580645161290323,0.7419354838709677,1.0869565217391304,0.1190701211967752,12,False
5,5,0.8596491228070176,0.6666666666666666,0.8771929824561403,0.7368421052631579,0.7850877192982456,1.1173184357541899,0.1282079290730615,7,False
5,3,0.7777777777777778,0.6507936507936508,0.8888888888888888,0.6666666666666666,0.7460317460317459,1.1914893617021278,0.14842872011671168,16,False
6,-1,0.7959183673469388,0.6326530612244898,0.8163265306122449,0.6938775510204082,0.7346938775510204,1.1111111111111112,0.1178511301977579,0,False
6,3,0.7358490566037735,0.7358490566037735,0.8679245283018868,0.6415094339622641,0.7452830188679245,1.1645569620253167,0.12488311043838607,14,False
6,0,0.7647058823529411,0.6862745098039216,0.7843137254901961,0.7058823529411765,0.7352941176470589,1.0666666666666667,0.06347936380926973,6,False
6,2,0.7959183673469388,0.673469387755102,0.8571428571428571,0.6938775510204082,0.7551020408163265,1.135135135135135,0.11466596451673744,4,False
6,1,0.75,0.6730769230769231,0.8653846153846154,0.6538461538461539,0.735576923076923,1.1764705882352942,0.1305009074672936,9,False
