Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
11,0.009105968,0.823333333,1.085020243,0.108534247,1.076697768,FALSE,57,28
11,0.352392899,0.8125,1.123076923,0.097300851,1.736860212,FALSE,70,34
11,0.924537784,0.808823529,1.061818182,0.050909091,2.498586109,FALSE,85,44
11,1.267824715,0.835294118,1.098591549,0.069951476,2.955621648,FALSE,94,50
11,1.725540623,0.83988764,1.08361204,0.058185009,3.717347545,FALSE,109,58
12,-1.478470733,0.806451613,1.1,0.12,-1.310043377,FALSE,10,2
12,0.524036364,0.8046875,1.106796117,0.1021342,-1.005353018,FALSE,16,37
12,0.981752272,0.786764706,1.028037383,0.035791668,-0.599099206,FALSE,24,45
12,1.897184088,0.793918919,1.140425532,0.106184211,0.46731705,FALSE,45,61
13,-1.421256244,0.757936508,1.172774869,0.120152981,-1.310043377,FALSE,10,3
13,-1.249612779,0.781746032,1.137055838,0.097200722,-1.005353018,FALSE,16,6
13,-0.620253405,0.818181818,1.092592593,0.111111111,-0.040500215,FALSE,35,17
13,1.267824715,0.816176471,1.063063063,0.074290191,0.264190144,FALSE,41,50
13,1.668326134,0.817567568,1.05785124,0.039346713,1.279824674,FALSE,61,57
14,-1.364041756,0.75862069,1.159090909,0.141323925,-0.853007839,FALSE,19,4
14,-1.077969313,0.757936508,1.172774869,0.120152981,-0.091281941,FALSE,34,9
14,-0.505824429,0.779850746,1.148325359,0.109804877,0.822789135,FALSE,52,19
14,0.066320456,0.77173913,1.164319249,0.115127225,1.025916041,FALSE,56,29
14,0.409607387,0.793478261,1.132420091,0.089943907,1.3306064,FALSE,62,35
14,0.752894318,0.803571429,1.12,0.088740617,1.635296759,FALSE,68,41
14,0.810108807,0.825,1.090909091,0.065366532,1.939987118,FALSE,74,42
15,-0.219751986,0.726851852,1.197452229,0.20208924,-1.360825104,FALSE,9,24
15,0.352392899,0.754545455,1.084337349,0.105033709,-0.903789565,FALSE,18,34
15,0.466821876,0.75862069,1.159090909,0.124482399,-0.3959723,FALSE,28,36
15,0.810108807,0.791666667,1.115789474,0.085083198,0.31497187,FALSE,42,42
16,-1.59289971,0.75,1.081761006,0.055782535,-1.208479924,TRUE,12,0
16,-0.620253405,0.768867925,1.104294479,0.075967998,-1.005353018,TRUE,16,17
16,-0.44860994,0.762931034,1.152542373,0.132256496,-0.294408847,TRUE,30,20
16,0.638465341,0.73828125,1.206349206,0.194259892,0.31497187,TRUE,42,39
16,0.752894318,0.76953125,1.157360406,0.141040041,0.721225682,TRUE,50,41
16,1.153395738,0.768939394,1.162561576,0.140602789,1.025916041,TRUE,56,48
17,-0.44860994,0.799295775,1.145374449,0.152518792,-1.41160683,FALSE,8,20
17,0.29517841,0.820422535,1.115879828,0.124882134,-1.106916471,FALSE,14,33
17,0.638465341,0.818493151,1.087866109,0.089998693,-0.802226112,FALSE,20,39
17,0.810108807,0.823717949,1.105058366,0.077691202,0.111844964,FALSE,38,42
17,1.553897157,0.81402439,1.123595506,0.093458014,0.619662229,FALSE,48,55
18,-1.077969313,0.807142857,1.044247788,0.033891225,-1.208479924,FALSE,12,9
18,-0.276966475,0.798611111,1.026086957,0.017391304,-1.005353018,FALSE,16,23
18,-0.048108521,0.826388889,1.058823529,0.050420168,-0.599099206,FALSE,24,27
18,2.011613065,0.8125,1.020242915,0.015504892,-0.142063668,FALSE,33,63
19,-1.478470733,0.771551724,1.139664804,0.118772579,-1.157698198,FALSE,13,2
19,-1.020754825,0.770833333,1.145945946,0.107927778,-0.853007839,FALSE,19,10
19,-0.620253405,0.784482759,1.120879121,0.121045507,-1.005353018,TRUE,16,17
19,-0.563038917,0.746031746,1.127659574,0.124062806,-0.700662659,TRUE,22,18
19,-0.44860994,0.791666667,1.129186603,0.095534157,0.365753597,TRUE,43,20
19,-0.162537498,0.802238806,1.11627907,0.079479105,0.670443956,TRUE,49,25
19,1.153395738,0.796428571,1.076233184,0.053561952,1.076697768,TRUE,57,48
20,-1.135183802,0.733050847,1.01734104,0.011560694,-1.208479924,FALSE,12,8
20,-0.677467894,0.718253968,1.060773481,0.058120567,-0.802226112,FALSE,20,16
20,-0.44860994,0.699275362,1.119170984,0.094787031,-0.192845394,FALSE,32,20
20,-0.105323009,0.724637681,1.08,0.067330033,0.162626691,FALSE,39,26
20,0.581250853,0.778985507,1.097674419,0.076520699,0.924352588,FALSE,54,38
20,0.69567983,0.811594203,1.053571429,0.052570005,1.381388127,FALSE,63,40
21,-0.791896871,0.745454545,1.097560976,0.110879526,-1.208479924,FALSE,12,14
21,-0.391395452,0.754237288,1.168539326,0.122398012,-0.497535753,FALSE,26,21
21,0.409607387,0.770491803,1.106382979,0.071627695,0.010281512,FALSE,36,35
21,0.924537784,0.76953125,1.157360406,0.122249691,0.46731705,FALSE,45,44
22,-0.677467894,0.805084746,1.094736842,0.077828326,-1.157698198,FALSE,13,16
22,-0.563038917,0.785714286,1.131313131,0.099654199,-0.751444386,FALSE,21,18
22,-0.505824429,0.8,1.076923077,0.060813032,-0.243627121,FALSE,31,19
22,0.123534945,0.823529412,1.089285714,0.068387651,0.568880503,FALSE,47,30
22,1.325039203,0.793918919,1.055319149,0.040219707,1.127479494,FALSE,58,51
23,-0.334180963,0.819444444,1.179661017,0.160960442,-1.563952009,FALSE,5,22
